dataset	n	p	true_k	sigma	method	K	n_iter	CRI	WCRI	TWCRI	ARI_mean	ARI_std	AMI_mean	AMI_std	empty_clusters	K_star_TWCRI
high_dim	200	50	3		agglomerative_single	5	200	NaN	NaN	NaN	0.9272	0.0133	0.9159	0.0054	Y	
high_dim	200	50	3		agglomerative_single	6	200	0.6849	0.1366	0.8193	0.8893	0.0184	0.8751	0.0081		
high_dim	200	50	3		hdbscan*	modal=3	200				0.9050	0.1569	0.9287	0.1183		modal_k=3, agree=0.72
moons_2d	300	2	2		kmeans	2	200	0.9937	0.4968	0.9937	0.8659	0.1388	0.8355	0.1400		4
moons_2d	300	2	2		kmeans	3	200	0.9249	0.3063	0.9188	0.5590	0.2132	0.6238	0.1636		4
moons_2d	300	2	2		kmeans	4	200	0.9582	0.2379	0.9514	0.6115	0.1665	0.6907	0.1221		4
moons_2d	300	2	2		kmeans	5	200	0.7680	0.1536	0.7679	0.5739	0.1348	0.6776	0.0946		4
moons_2d	300	2	2		kmeans	6	200	0.9214	0.1531	0.9186	0.6406	0.1317	0.7338	0.0901		4
moons_2d	300	2	2		agglomerative_ward	2	200	0.8650	0.4326	0.8653	0.4570	0.2726	0.4935	0.1942		2
moons_2d	300	2	2		agglomerative_ward	3	200	0.8048	0.2656	0.7969	0.5694	0.1804	0.6361	0.1263		2
moons_2d	300	2	2		agglomerative_ward	4	200	0.7515	0.1845	0.7380	0.5346	0.1377	0.6388	0.0948		2
moons_2d	300	2	2		agglomerative_ward	5	200	0.7522	0.1472	0.7360	0.5528	0.1118	0.6707	0.0773		2
moons_2d	300	2	2		agglomerative_ward	6	200	0.8270	0.1375	0.8247	0.6373	0.1184	0.7394	0.0798		2
moons_2d	300	2	2		agglomerative_single	2	200	0.8606	0.4303	0.8606	0.2617	0.1751	0.2377	0.1468		
moons_2d	300	2	2		agglomerative_single	3	200	0.6929	0.2493	0.7478	0.3682	0.1453	0.4130	0.1155		
moons_2d	300	2	2		agglomerative_single	4	200	0.6273	0.1697	0.6788	0.4054	0.1395	0.5077	0.1084		
moons_2d	300	2	2		agglomerative_single	5	200	0.6051	0.1260	0.6300	0.4522	0.1420	0.5812	0.1087		
moons_2d	300	2	2		agglomerative_single	6	200	0.6384	0.1071	0.6425	0.4722	0.1291	0.6210	0.0964		
moons_2d	300	2	2		hdbscan*	modal=2	200				0.5660	0.2368	0.5534	0.2060		modal_k=2, agree=0.93
overlapping	300	5	4		kmeans	2	200	1.0000	0.5000	1.0000	0.9647	0.1559	0.9683	0.1341		4
overlapping	300	5	4		kmeans	3	200	0.8727	0.2918	0.8755	0.7949	0.2561	0.8578	0.1712		4
overlapping	300	5	4		kmeans	4	200	0.9787	0.2447	0.9787	0.9520	0.1213	0.9704	0.0724		4
overlapping	300	5	4		kmeans	5	200	0.7447	0.1611	0.8053	0.8346	0.0748	0.8802	0.0340		4
overlapping	300	5	4		kmeans	6	200	NaN	NaN	NaN	0.7286	0.0839	0.7997	0.0362	Y	4
overlapping	300	5	4		agglomerative_ward	2	200	0.9987	0.4993	0.9987	0.9843	0.0410	0.9765	0.0549		4
overlapping	300	5	4		agglomerative_ward	3	200	0.9598	0.3191	0.9574	0.9395	0.1569	0.9543	0.1039		4
overlapping	300	5	4		agglomerative_ward	4	200	0.9961	0.2490	0.9961	0.9896	0.0238	0.9895	0.0230		4
overlapping	300	5	4		agglomerative_ward	5	200	0.7997	0.1705	0.8524	0.8390	0.0570	0.8810	0.0259		4
overlapping	300	5	4		agglomerative_ward	6	200	0.7001	0.1245	0.7468	0.7126	0.0748	0.7955	0.0311		4
overlapping	300	5	4		agglomerative_single	2	200	0.9010	0.4472	0.8944	0.5474	0.3128	0.5700	0.2529		
overlapping	300	5	4		agglomerative_single	3	200	0.9503	0.3169	0.9506	0.9305	0.1658	0.9477	0.1127		
overlapping	300	5	4		agglomerative_single	4	200	0.7975	0.2157	0.8630	0.8207	0.1190	0.8647	0.0663		
overlapping	300	5	4		agglomerative_single	5	200	NaN	NaN	NaN	0.7407	0.1008	0.7981	0.0542	Y	
overlapping	300	5	4		agglomerative_single	6	200	NaN	NaN	NaN	0.6820	0.0902	0.7486	0.0461	Y	
overlapping	300	5	4		hdbscan*	modal=3	200				0.8151	0.2027	0.8525	0.1512		modal_k=3, agree=0.57
vdx_3gene	344	3			kmeans	2	200	0.9930	0.4970	0.9939	0.8928	0.2230	0.8651	0.2288		6
vdx_3gene	344	3			kmeans	3	200	0.9753	0.3266	0.9797	0.8717	0.1498	0.8588	0.1297		6
vdx_3gene	344	3			kmeans	4	200	0.8671	0.2171	0.8683	0.6233	0.1240	0.6978	0.0883		6
vdx_3gene	344	3			kmeans	5	200	0.7709	0.1575	0.7873	0.6016	0.1197	0.6793	0.0820		6
vdx_3gene	344	3			kmeans	6	200	0.8293	0.1390	0.8341	0.5922	0.1342	0.6849	0.0923		6
vdx_3gene	344	3			agglomerative_ward	2	200	0.9415	0.4720	0.9440	0.7078	0.1809	0.6655	0.1729		6
vdx_3gene	344	3			agglomerative_ward	3	200	0.9379	0.3169	0.9507	0.8450	0.1014	0.8141	0.0969		6
vdx_3gene	344	3			agglomerative_ward	4	200	0.7843	0.2005	0.8019	0.7144	0.1476	0.7603	0.0952		6
vdx_3gene	344	3			agglomerative_ward	5	200	0.7718	0.1506	0.7529	0.6551	0.1133	0.7271	0.0762		6
vdx_3gene	344	3			agglomerative_ward	6	200	0.7837	0.1300	0.7803	0.6543	0.1157	0.7248	0.0776		6
vdx_3gene	344	3			agglomerative_single	2	200	0.7950	0.4165	0.8329	0.2224	0.3607	0.2089	0.3458		
vdx_3gene	344	3			agglomerative_single	3	200	0.6305	0.2546	0.7638	0.3684	0.3317	0.3784	0.2748		
vdx_3gene	344	3			agglomerative_single	4	200	0.6050	0.1876	0.7503	0.3837	0.2159	0.4168	0.1793		
