dataset	n	p	true_k	sigma	method	K	n_iter	CRI	WCRI	TWCRI	ARI_mean	ARI_std	AMI_mean	AMI_std	empty_clusters	K_star_TWCRI
gmm_4c_100d_sigma0p10	400	100	4	0.1	kmeans	2	200	1.0000	0.5000	1.0000	0.9915	0.0846	0.9929	0.0705		4
gmm_4c_100d_sigma0p10	400	100	4	0.1	kmeans	3	200	0.7568	0.2489	0.7467	0.6176	0.2442	0.7553	0.1553		4
gmm_4c_100d_sigma0p10	400	100	4	0.1	kmeans	4	200	0.9977	0.2494	0.9977	0.9898	0.0583	0.9943	0.0328		4
gmm_4c_100d_sigma0p10	400	100	4	0.1	kmeans	5	200	NaN	NaN	NaN	0.8610	0.0512	0.8995	0.0210	Y	4
gmm_4c_100d_sigma0p10	400	100	4	0.1	kmeans	6	200	NaN	NaN	NaN	0.7432	0.0617	0.8168	0.0266	Y	4
gmm_4c_100d_sigma0p10	400	100	4	0.1	agglomerative_ward	2	200	0.9636	0.4818	0.9636	0.8161	0.2657	0.8254	0.2464		4
gmm_4c_100d_sigma0p10	400	100	4	0.1	agglomerative_ward	3	200	0.8175	0.2654	0.7962	0.5029	0.1390	0.6832	0.0879		4
gmm_4c_100d_sigma0p10	400	100	4	0.1	agglomerative_ward	4	200	1.0000	0.2500	1.0000	1.0000	0.0000	1.0000	0.0000		4
gmm_4c_100d_sigma0p10	400	100	4	0.1	agglomerative_ward	5	200	0.7834	0.1661	0.8304	0.8672	0.0508	0.9053	0.0239		4
gmm_4c_100d_sigma0p10	400	100	4	0.1	agglomerative_ward	6	200	0.6705	0.1188	0.7129	0.7442	0.0682	0.8214	0.0284		4
gmm_4c_100d_sigma0p10	400	100	4	0.1	hdbscan*	modal=4	200				0.9472	0.1005	0.9665	0.0658		modal_k=4, agree=0.78
gmm_4c_100d_sigma0p25	400	100	4	0.25	kmeans	2	200	1.0000	0.5000	1.0000	1.0000	0.0000	1.0000	0.0000		2
gmm_4c_100d_sigma0p25	400	100	4	0.25	kmeans	3	200	0.7700	0.2530	0.7591	0.6701	0.2530	0.7837	0.1630		2
gmm_4c_100d_sigma0p25	400	100	4	0.25	kmeans	4	200	0.5878	0.1525	0.6102	0.9261	0.1468	0.9557	0.0893		2
gmm_4c_100d_sigma0p25	400	100	4	0.25	kmeans	5	200	0.4964	0.1084	0.5420	0.8682	0.0614	0.9019	0.0331		2
gmm_4c_100d_sigma0p25	400	100	4	0.25	kmeans	6	200	NaN	NaN	NaN	0.7604	0.0677	0.8254	0.0304	Y	2
gmm_4c_100d_sigma0p25	400	100	4	0.25	agglomerative_ward	2	200	0.9402	0.4701	0.9402	0.6099	0.2671	0.6310	0.2431		4
gmm_4c_100d_sigma0p25	400	100	4	0.25	agglomerative_ward	3	200	0.8226	0.2644	0.7933	0.4847	0.0907	0.6709	0.0558		4
gmm_4c_100d_sigma0p25	400	100	4	0.25	agglomerative_ward	4	200	1.0000	0.2500	1.0000	1.0000	0.0000	1.0000	0.0000		4
gmm_4c_100d_sigma0p25	400	100	4	0.25	agglomerative_ward	5	200	NaN	NaN	NaN	0.8512	0.0528	0.8948	0.0193	Y	4
gmm_4c_100d_sigma0p25	400	100	4	0.25	agglomerative_ward	6	200	NaN	NaN	NaN	0.7200	0.0667	0.8067	0.0251	Y	4
gmm_4c_100d_sigma0p25	400	100	4	0.25	hdbscan*	modal=3	200				0.7069	0.2292	0.8140	0.1554		modal_k=3, agree=0.46
gmm_4c_100d_sigma0p50	400	100	4	0.5	kmeans	2	200	0.9997	0.4999	0.9997	0.9950	0.0150	0.9914	0.0257		4
gmm_4c_100d_sigma0p50	400	100	4	0.5	kmeans	3	200	0.7905	0.2588	0.7765	0.6003	0.2098	0.6840	0.1510		4
gmm_4c_100d_sigma0p50	400	100	4	0.5	kmeans	4	200	0.9235	0.2309	0.9235	0.7741	0.1982	0.8255	0.1467		4
gmm_4c_100d_sigma0p50	400	100	4	0.5	kmeans	5	200	NaN	NaN	NaN	0.7237	0.1520	0.7764	0.1108	Y	4
gmm_4c_100d_sigma0p50	400	100	4	0.5	kmeans	6	200	NaN	NaN	NaN	0.6282	0.1314	0.7095	0.0931	Y	4
gmm_4c_100d_sigma0p50	400	100	4	0.5	agglomerative_ward	2	200	0.8915	0.4458	0.8915	0.5866	0.2939	0.6089	0.2466		4
gmm_4c_100d_sigma0p50	400	100	4	0.5	agglomerative_ward	3	200	0.8804	0.2816	0.8448	0.5906	0.2135	0.7029	0.1354		4
gmm_4c_100d_sigma0p50	400	100	4	0.5	agglomerative_ward	4	200	0.9704	0.2426	0.9704	0.9211	0.0520	0.9175	0.0516		4
gmm_4c_100d_sigma0p50	400	100	4	0.5	agglomerative_ward	5	200	NaN	NaN	NaN	0.8083	0.0645	0.8351	0.0486	Y	4
gmm_4c_100d_sigma0p50	400	100	4	0.5	agglomerative_ward	6	200	NaN	NaN	NaN	0.7010	0.0667	0.7612	0.0447	Y	4
gmm_4c_100d_sigma0p50	400	100	4	0.5	hdbscan*	modal=2	200									modal_k=2, agree=0.01
gmm_4c_100d_sigma0p75	400	100	4	0.75	kmeans	2	200	0.9996	0.4998	0.9996	0.9420	0.1041	0.9216	0.1147		2
gmm_4c_100d_sigma0p75	400	100	4	0.75	kmeans	3	200	0.9121	0.3026	0.9079	0.5036	0.1505	0.5602	0.1117		2
gmm_4c_100d_sigma0p75	400	100	4	0.75	kmeans	4	200	0.8820	0.2209	0.8834	0.4741	0.0972	0.5565	0.0759		2
gmm_4c_100d_sigma0p75	400	100	4	0.75	kmeans	5	200	NaN	NaN	NaN	0.4124	0.0917	0.5000	0.0661	Y	2
gmm_4c_100d_sigma0p75	400	100	4	0.75	kmeans	6	200	0.5438	0.0961	0.5765	0.3512	0.0812	0.4503	0.0588		2
gmm_4c_100d_sigma0p75	400	100	4	0.75	agglomerative_ward	2	200	0.9012	0.4506	0.9012	0.5928	0.2215	0.5845	0.1645		2
gmm_4c_100d_sigma0p75	400	100	4	0.75	agglomerative_ward	3	200	0.7923	0.2632	0.7895	0.5336	0.1308	0.5844	0.0818		2
gmm_4c_100d_sigma0p75	400	100	4	0.75	agglomerative_ward	4	200	0.7600	0.1923	0.7690	0.5533	0.0850	0.6055	0.0619		2
gmm_4c_100d_sigma0p75	400	100	4	0.75	agglomerative_ward	5	200	0.6359	0.1361	0.6807	0.4900	0.0870	0.5500	0.0592		2
gmm_4c_100d_sigma0p75	400	100	4	0.75	agglomerative_ward	6	200	0.5478	0.1010	0.6063	0.4303	0.0861	0.5032	0.0577		2
gmm_4c_100d_sigma0p75	400	100	4	0.75	hdbscan*	modal=1	200									modal_k=1, agree=0.00
gmm_4c_100d_sigma1p00	400	100	4	1.0	kmeans	2	200	0.9918	0.4959	0.9918	0.7759	0.1974	0.7319	0.1852		2
gmm_4c_100d_sigma1p00	400	100	4	1.0	kmeans	3	200	0.9212	0.3063	0.9190	0.4577	0.1109	0.5000	0.0761		2
gmm_4c_100d_sigma1p00	400	100	4	1.0	kmeans	4	200	0.7139	0.1868	0.7472	0.3579	0.0895	0.4232	0.0669		2
gmm_4c_100d_sigma1p00	400	100	4	1.0	kmeans	5	200	0.5263	0.1145	0.5725	0.2822	0.0697	0.3612	0.0549		2
gmm_4c_100d_sigma1p00	400	100	4	1.0	kmeans	6	200	0.4556	0.0840	0.5040	0.2312	0.0690	0.3203	0.0566		2
gmm_4c_100d_sigma1p00	400	100	4	1.0	agglomerative_ward	2	200	0.8879	0.4440	0.8880	0.5665	0.1855	0.5390	0.1281		2
gmm_4c_100d_sigma1p00	400	100	4	1.0	agglomerative_ward	3	200	0.7285	0.2477	0.7432	0.4863	0.0976	0.5063	0.0699		2
gmm_4c_100d_sigma1p00	400	100	4	1.0	agglomerative_ward	4	200	0.6361	0.1683	0.6730	0.4013	0.0818	0.4486	0.0610		2
gmm_4c_100d_sigma1p00	400	100	4	1.0	agglomerative_ward	5	200	0.5310	0.1096	0.5482	0.3257	0.0723	0.3962	0.0537		2
gmm_4c_100d_sigma1p00	400	100	4	1.0	agglomerative_ward	6	200	0.4483	0.0833	0.4995	0.2815	0.0682	0.3609	0.0514		2
gmm_4c_100d_sigma1p00	400	100	4	1.0	hdbscan*	modal=1	200									modal_k=1, agree=0.00
gmm_4c_100d_sigma1p50	400	100	4	1.5	kmeans	2	200	0.9674	0.4837	0.9674	0.4837	0.2550	0.4395	0.2223		2
gmm_4c_100d_sigma1p50	400	100	4	1.5	kmeans	3	200	0.6946	0.2407	0.7220	0.2976	0.1357	0.3053	0.1233		2
gmm_4c_100d_sigma1p50	400	100	4	1.5	kmeans	4	200	0.5690	0.1528	0.6113	0.2152	0.0961	0.2470	0.0834		2
gmm_4c_100d_sigma1p50	400	100	4	1.5	kmeans	5	200	0.4552	0.1012	0.5058	0.1459	0.0664	0.1942	0.0651		2
gmm_4c_100d_sigma1p50	400	100	4	1.5	kmeans	6	200	0.3678	0.0633	0.3798	0.1207	0.0611	0.1708	0.0617		2
gmm_4c_100d_sigma1p50	400	100	4	1.5	agglomerative_ward	2	200	0.8480	0.4241	0.8483	0.4347	0.1543	0.3938	0.1176		2
gmm_4c_100d_sigma1p50	400	100	4	1.5	agglomerative_ward	3	200	0.6279	0.2296	0.6889	0.3285	0.0938	0.3257	0.0750		2
gmm_4c_100d_sigma1p50	400	100	4	1.5	agglomerative_ward	4	200	0.5192	0.1412	0.5648	0.2549	0.0779	0.2783	0.0614		2
gmm_4c_100d_sigma1p50	400	100	4	1.5	agglomerative_ward	5	200	0.4567	0.0954	0.4769	0.2068	0.0662	0.2510	0.0543		2
gmm_4c_100d_sigma1p50	400	100	4	1.5	agglomerative_ward	6	200	0.4052	0.0715	0.4287	0.1723	0.0559	0.2291	0.0504		2
gmm_4c_100d_sigma1p50	400	100	4	1.5	hdbscan*	modal=1	200									modal_k=1, agree=0.00
gmm_4c_100d_sigma2p00	400	100	4	2.0	kmeans	2	200	0.9516	0.4758	0.9515	0.1533	0.1758	0.1372	0.1494		2
gmm_4c_100d_sigma2p00	400	100	4	2.0	kmeans	3	200	0.6319	0.2234	0.6703	0.1227	0.1081	0.1190	0.0942		2
gmm_4c_100d_sigma2p00	400	100	4	2.0	kmeans	4	200	0.5188	0.1363	0.5454	0.0802	0.0657	0.0926	0.0636		2
gmm_4c_100d_sigma2p00	400	100	4	2.0	kmeans	5	200	0.4383	0.0959	0.4794	0.0665	0.0466	0.0862	0.0520		2
gmm_4c_100d_sigma2p00	400	100	4	2.0	kmeans	6	200	0.3779	0.0674	0.4045	0.0573	0.0447	0.0821	0.0520		2
gmm_4c_100d_sigma2p00	400	100	4	2.0	agglomerative_ward	2	200	0.7563	0.3787	0.7575	0.2296	0.1168	0.2126	0.0878		2
gmm_4c_100d_sigma2p00	400	100	4	2.0	agglomerative_ward	3	200	0.5495	0.2008	0.6024	0.1661	0.0793	0.1651	0.0591		2
gmm_4c_100d_sigma2p00	400	100	4	2.0	agglomerative_ward	4	200	0.4588	0.1257	0.5027	0.1296	0.0658	0.1467	0.0558		2
gmm_4c_100d_sigma2p00	400	100	4	2.0	agglomerative_ward	5	200	0.3840	0.0853	0.4264	0.1073	0.0498	0.1356	0.0476		2
gmm_4c_100d_sigma2p00	400	100	4	2.0	agglomerative_ward	6	200	0.3631	0.0626	0.3755	0.0891	0.0401	0.1267	0.0445		2
gmm_4c_100d_sigma2p00	400	100	4	2.0	hdbscan*	modal=1	200									modal_k=1, agree=0.00
gmm_4c_100d_sigma2p50	400	100	4	2.5	kmeans	2	200	0.8956	0.4479	0.8957	0.0546	0.0947	0.0498	0.0807		2
gmm_4c_100d_sigma2p50	400	100	4	2.5	kmeans	3	200	0.5638	0.1925	0.5774	0.0467	0.0636	0.0476	0.0556		2
gmm_4c_100d_sigma2p50	400	100	4	2.5	kmeans	4	200	0.4743	0.1246	0.4986	0.0336	0.0366	0.0438	0.0381		2
gmm_4c_100d_sigma2p50	400	100	4	2.5	kmeans	5	200	0.3864	0.0785	0.3926	0.0294	0.0308	0.0450	0.0381		2
gmm_4c_100d_sigma2p50	400	100	4	2.5	kmeans	6	200	0.3082	0.0523	0.3138	0.0294	0.0339	0.0468	0.0439		2
gmm_4c_100d_sigma2p50	400	100	4	2.5	agglomerative_ward	2	200	0.6663	0.3353	0.6705	0.0932	0.1063	0.0826	0.0788		2
gmm_4c_100d_sigma2p50	400	100	4	2.5	agglomerative_ward	3	200	0.5088	0.1753	0.5258	0.0732	0.0614	0.0773	0.0565		2
gmm_4c_100d_sigma2p50	400	100	4	2.5	agglomerative_ward	4	200	0.4118	0.1085	0.4339	0.0604	0.0460	0.0735	0.0459		2
gmm_4c_100d_sigma2p50	400	100	4	2.5	agglomerative_ward	5	200	0.3669	0.0766	0.3832	0.0588	0.0431	0.0795	0.0477		2
gmm_4c_100d_sigma2p50	400	100	4	2.5	agglomerative_ward	6	200	0.3402	0.0575	0.3447	0.0532	0.0355	0.0794	0.0469		2
gmm_4c_100d_sigma2p50	400	100	4	2.5	hdbscan*	modal=1	200									modal_k=1, agree=0.00
gmm_4c_100d_sigma3p00	400	100	4	3.0	kmeans	2	200	0.7635	0.3818	0.7635	0.0166	0.0416	0.0165	0.0308		2
gmm_4c_100d_sigma3p00	400	100	4	3.0	kmeans	3	200	0.5024	0.1701	0.5102	0.0219	0.0362	0.0215	0.0329		2
gmm_4c_100d_sigma3p00	400	100	4	3.0	kmeans	4	200	0.4187	0.1055	0.4219	0.0193	0.0285	0.0226	0.0289		2
gmm_4c_100d_sigma3p00	400	100	4	3.0	kmeans	5	200	0.3425	0.0714	0.3568	0.0166	0.0276	0.0252	0.0355		2
gmm_4c_100d_sigma3p00	400	100	4	3.0	kmeans	6	200	0.2918	0.0498	0.2991	0.0175	0.0270	0.0271	0.0362		2
gmm_4c_100d_sigma3p00	400	100	4	3.0	agglomerative_ward	2	200	0.6330	0.3167	0.6335	0.0261	0.0564	0.0267	0.0440		2
gmm_4c_100d_sigma3p00	400	100	4	3.0	agglomerative_ward	3	200	0.4615	0.1627	0.4881	0.0296	0.0414	0.0372	0.0379		2
gmm_4c_100d_sigma3p00	400	100	4	3.0	agglomerative_ward	4	200	0.3946	0.1021	0.4082	0.0293	0.0364	0.0404	0.0373		2
gmm_4c_100d_sigma3p00	400	100	4	3.0	agglomerative_ward	5	200	0.3594	0.0729	0.3643	0.0297	0.0314	0.0454	0.0379		2
gmm_4c_100d_sigma3p00	400	100	4	3.0	agglomerative_ward	6	200	0.3411	0.0568	0.3409	0.0305	0.0284	0.0490	0.0395		2
gmm_4c_100d_sigma3p00	400	100	4	3.0	hdbscan*	modal=1	200									modal_k=1, agree=0.00
gmm_anisotropic	450	2	3		kmeans	2	200	0.9999	0.4999	0.9998	0.9674	0.1398	0.9610	0.1241		4
gmm_anisotropic	450	2	3		kmeans	3	200	0.6776	0.2262	0.6785	0.9800	0.0848	0.9825	0.0576		4
gmm_anisotropic	450	2	3		kmeans	4	200	0.7540	0.2074	0.8298	0.7985	0.1129	0.8534	0.0656		4
gmm_anisotropic	450	2	3		kmeans	5	200	0.7028	0.1485	0.7424	0.7292	0.1270	0.8219	0.0680		4
gmm_anisotropic	450	2	3		kmeans	6	200	0.8024	0.1370	0.8219	0.6888	0.1090	0.7981	0.0601		4
gmm_anisotropic	450	2	3		agglomerative_ward	2	200	0.9995	0.4998	0.9995	0.9973	0.0151	0.9955	0.0238		2
gmm_anisotropic	450	2	3		agglomerative_ward	3	200	0.9981	0.3327	0.9981	0.9866	0.0198	0.9823	0.0256		2
gmm_anisotropic	450	2	3		agglomerative_ward	4	200	0.8934	0.2295	0.9182	0.8891	0.0948	0.8970	0.0633		2
gmm_anisotropic	450	2	3		agglomerative_ward	5	200	0.8467	0.1729	0.8647	0.7778	0.1103	0.8315	0.0613		2
gmm_anisotropic	450	2	3		agglomerative_ward	6	200	0.8228	0.1371	0.8226	0.6923	0.1033	0.8004	0.0580		2
gmm_anisotropic	450	2	3		agglomerative_single	2	200	0.8765	0.4284	0.8567	0.6368	0.4366	0.7029	0.3550		3
gmm_anisotropic	450	2	3		agglomerative_single	3	200	0.9638	0.3213	0.9638	0.9444	0.1320	0.9558	0.0889		3
gmm_anisotropic	450	2	3		agglomerative_single	4	200	0.8484	0.2322	0.9287	0.9285	0.0433	0.9202	0.0407		3
gmm_anisotropic	450	2	3		agglomerative_single	5	200	NaN	NaN	NaN	0.8695	0.0542	0.8590	0.0468	Y	3
gmm_anisotropic	450	2	3		agglomerative_single	6	200	NaN	NaN	NaN	0.8354	0.0649	0.8257	0.0546	Y	3
gmm_anisotropic	450	2	3		hdbscan*	modal=3	200				0.9849	0.0216	0.9798	0.0275		modal_k=3, agree=1.00
gmm_five_clusters	400	2	5		kmeans	2	200	0.6639	0.3325	0.6650	0.3194	0.3668	0.3713	0.3221		5
gmm_five_clusters	400	2	5		kmeans	3	200	0.6205	0.2001	0.6003	0.4304	0.2731	0.5971	0.1918		5
gmm_five_clusters	400	2	5		kmeans	4	200	0.9379	0.2335	0.9341	0.7396	0.1286	0.8010	0.0861		5
gmm_five_clusters	400	2	5		kmeans	5	200	1.0000	0.2000	1.0000	0.9918	0.0218	0.9918	0.0193		5
gmm_five_clusters	400	2	5		kmeans	6	200	0.7938	0.1395	0.8372	0.8751	0.0610	0.9110	0.0352		5
gmm_five_clusters	400	2	5		kmeans	7	200	0.7627	0.1131	0.7917	0.7776	0.0758	0.8538	0.0402		5
gmm_five_clusters	400	2	5		agglomerative_ward	2	200	0.7833	0.3917	0.7834	0.4226	0.3659	0.4175	0.3482		5
gmm_five_clusters	400	2	5		agglomerative_ward	3	200	0.7183	0.2414	0.7241	0.4541	0.3321	0.6039	0.2257		5
gmm_five_clusters	400	2	5		agglomerative_ward	4	200	0.9090	0.2205	0.8818	0.6563	0.1244	0.7746	0.0741		5
gmm_five_clusters	400	2	5		agglomerative_ward	5	200	0.9902	0.1981	0.9905	0.9780	0.0313	0.9792	0.0278		5
gmm_five_clusters	400	2	5		agglomerative_ward	6	200	0.8502	0.1467	0.8804	0.8779	0.0583	0.9121	0.0341		5
gmm_five_clusters	400	2	5		agglomerative_ward	7	200	0.8125	0.1189	0.8325	0.8356	0.0830	0.8864	0.0473		5
gmm_five_clusters	400	2	5		agglomerative_single	2	200	0.6659	0.4097	0.8193	0.1565	0.4070	0.2447	0.3059		7
gmm_five_clusters	400	2	5		agglomerative_single	3	200	0.5273	0.1955	0.5864	0.2375	0.2777	0.4061	0.2276		7
gmm_five_clusters	400	2	5		agglomerative_single	4	200	0.5890	0.1547	0.6189	0.4759	0.1883	0.6391	0.1411		7
gmm_five_clusters	400	2	5		agglomerative_single	5	200	0.8200	0.1496	0.7478	0.6528	0.1451	0.7491	0.0992		7
gmm_five_clusters	400	2	5		agglomerative_single	6	200	0.6866	0.1106	0.6638	0.6944	0.1135	0.7767	0.0748		7
gmm_five_clusters	400	2	5		agglomerative_single	7	200	0.6568	0.0968	0.6776	0.7467	0.1055	0.8076	0.0686		7
gmm_five_clusters	400	2	5		hdbscan*	modal=4	200				0.7800	0.1933	0.8514	0.1302		modal_k=4, agree=0.53
gmm_high_dim_32	300	32	3		kmeans	2	200	0.8539	0.4268	0.8536	0.5546	0.4385	0.6304	0.3576		3
gmm_high_dim_32	300	32	3		kmeans	3	200	0.9949	0.3316	0.9949	0.9834	0.0947	0.9889	0.0633		3
gmm_high_dim_32	300	32	3		kmeans	4	200	0.7289	0.1955	0.7820	0.8079	0.0743	0.8376	0.0278		3
gmm_high_dim_32	300	32	3		kmeans	5	200	0.5973	0.1345	0.6724	0.6916	0.0910	0.7324	0.0377		3
gmm_high_dim_32	300	32	3		kmeans	6	200	0.5812	0.1067	0.6404	0.6298	0.1088	0.6631	0.0432		3
gmm_high_dim_32	300	32	3		agglomerative_ward	2	200	0.9039	0.4391	0.8781	0.5943	0.4528	0.6680	0.3693		3
gmm_high_dim_32	300	32	3		agglomerative_ward	3	200	1.0000	0.3333	1.0000	1.0000	0.0000	1.0000	0.0000		3
gmm_high_dim_32	300	32	3		agglomerative_ward	4	200	0.8131	0.2183	0.8733	0.8681	0.0518	0.8501	0.0346		3
gmm_high_dim_32	300	32	3		agglomerative_ward	5	200	0.7093	0.1655	0.8275	0.8543	0.0674	0.7902	0.0459		3
gmm_high_dim_32	300	32	3		agglomerative_ward	6	200	0.6486	0.1299	0.7792	0.8165	0.0929	0.7480	0.0547		3
gmm_high_dim_32	300	32	3		agglomerative_single	2	200	0.8958	0.4388	0.8777	0.6667	0.4384	0.7279	0.3570		3
gmm_high_dim_32	300	32	3		agglomerative_single	3	200	1.0000	0.3333	1.0000	1.0000	0.0000	1.0000	0.0000		3
gmm_high_dim_32	300	32	3		agglomerative_single	4	200	0.8895	0.2458	0.9831	0.9739	0.0080	0.9672	0.0073		3
gmm_high_dim_32	300	32	3		agglomerative_single	5	200	0.8130	0.1918	0.9591	0.9483	0.0124	0.9351	0.0101		3
gmm_high_dim_32	300	32	3		agglomerative_single	6	200	NaN	NaN	NaN	0.9240	0.0179	0.9052	0.0129	Y	3
gmm_high_dim_32	300	32	3		hdbscan*	modal=3	200				1.0000	0.0000	1.0000	0.0000		modal_k=3, agree=1.00
gmm_mixed_variance	450	2	3		kmeans	2	200	0.9987	0.4993	0.9986	0.8683	0.1581	0.8462	0.1553		2
gmm_mixed_variance	450	2	3		kmeans	3	200	0.9930	0.3309	0.9927	0.8134	0.1984	0.8233	0.1561		2
gmm_mixed_variance	450	2	3		kmeans	4	200	0.9768	0.2444	0.9776	0.7946	0.1181	0.8088	0.0924		2
gmm_mixed_variance	450	2	3		kmeans	5	200	0.9033	0.1836	0.9178	0.7171	0.1035	0.7570	0.0763		2
gmm_mixed_variance	450	2	3		kmeans	6	200	0.8316	0.1435	0.8610	0.6807	0.1025	0.7264	0.0688		2
gmm_mixed_variance	450	2	3		agglomerative_ward	2	200	0.9080	0.4523	0.9045	0.5926	0.2981	0.5935	0.2207		3
gmm_mixed_variance	450	2	3		agglomerative_ward	3	200	0.9232	0.3045	0.9135	0.7273	0.1513	0.7548	0.1095		3
gmm_mixed_variance	450	2	3		agglomerative_ward	4	200	0.8798	0.2202	0.8809	0.7175	0.1268	0.7544	0.0918		3
gmm_mixed_variance	450	2	3		agglomerative_ward	5	200	0.8017	0.1663	0.8314	0.6824	0.0943	0.7343	0.0690		3
gmm_mixed_variance	450	2	3		agglomerative_ward	6	200	0.7103	0.1242	0.7449	0.6696	0.0955	0.7173	0.0632		3
gmm_mixed_variance	450	2	3		agglomerative_single	2	200	0.8042	0.4797	0.9595	0.1759	0.1982	0.1378	0.1564		2
gmm_mixed_variance	450	2	3		agglomerative_single	3	200	0.7804	0.2984	0.8953	0.1956	0.2048	0.1942	0.1561		2
