17.0,21.0
24.0,21.0
12.0,15.0
13.0,26.0
17.0,22.0
12.0,19.0
34.0,11.0
15.0,24.0
18.0,19.0
17.0,20.0
21.0,17.0
26.0,22.0
20.0,16.0
19.0,25.0
15.0,20.0
13.0,19.0
11.0,18.0
21.0,16.0
20.0,19.0
16.0,19.0
22.0,18.0
17.0,18.0
26.0,18.0
20.0,18.0
16.0,28.0
21.0,17.0
24.0,14.0
26.0,24.0
20.0,17.0
25.0,17.0
32.0,23.0
24.0,13.0
18.0,30.0
16.0,24.0
19.0,17.0
19.0,27.0
12.0,22.0
22.0,13.0
26.0,13.0
23.0,14.0
23.0,20.0
15.0,16.0
28.0,31.0
25.0,10.0
22.0,21.0
19.0,21.0
19.0,25.0
23.0,19.0
30.0,19.0
24.0,16.0
18.0,22.0
24.0,18.0
21.0,23.0
29.0,16.0
13.0,27.0
17.0,25.0
20.0,19.0
29.0,18.0
17.0,19.0
18.0,23.0
20.0,15.0
21.0,18.0
16.0,18.0
13.0,25.0
25.0,11.0
16.0,22.0
25.0,22.0
27.0,21.0
26.0,16.0
25.0,14.0
20.0,11.0
12.0,28.0
14.0,22.0
15.0,25.0
20.0,18.0
24.0,23.0
21.0,28.0
17.0,24.0
19.0,24.0
24.0,26.0
19.0,27.0
28.0,20.0
19.0,29.0
20.0,18.0
23.0,21.0
21.0,26.0
18.0,24.0
13.0,18.0
20.0,15.0
22.0,21.0
18.0,19.0
20.0,20.0
17.0,16.0
19.0,16.0
22.0,22.0
19.0,16.0
14.0,27.0
12.0,17.0
16.0,13.0
21.0,18.0
