18.0,16.0
39.0,1.0
4.0,33.0
2.0,34.0
39.0,3.0
23.0,7.0
42.0,4.0
9.0,38.0
45.0,3.0
36.0,4.0
29.0,1.0
44.0,2.0
4.0,37.0
43.0,2.0
42.0,3.0
43.0,3.0
48.0,0.0
7.0,40.0
28.0,5.0
34.0,4.0
35.0,4.0
44.0,1.0
36.0,3.0
5.0,41.0
9.0,35.0
34.0,6.0
35.0,1.0
28.0,4.0
36.0,1.0
8.0,27.0
5.0,34.0
30.0,14.0
35.0,6.0
52.0,4.0
27.0,13.0
30.0,4.0
33.0,3.0
2.0,37.0
42.0,4.0
47.0,1.0
5.0,35.0
6.0,32.0
29.0,0.0
29.0,3.0
34.0,4.0
36.0,3.0
31.0,3.0
28.0,6.0
2.0,26.0
42.0,3.0
4.0,28.0
36.0,7.0
5.0,34.0
36.0,2.0
38.0,1.0
45.0,2.0
5.0,31.0
27.0,10.0
32.0,6.0
41.0,4.0
1.0,47.0
39.0,3.0
37.0,3.0
39.0,5.0
5.0,35.0
6.0,41.0
33.0,7.0
34.0,4.0
34.0,2.0
36.0,4.0
28.0,4.0
32.0,2.0
37.0,3.0
29.0,7.0
44.0,3.0
7.0,33.0
37.0,6.0
42.0,4.0
14.0,20.0
25.0,22.0
44.0,2.0
29.0,4.0
29.0,14.0
3.0,42.0
4.0,39.0
38.0,5.0
5.0,37.0
4.0,31.0
29.0,11.0
5.0,32.0
32.0,6.0
24.0,13.0
27.0,1.0
36.0,2.0
33.0,4.0
31.0,5.0
37.0,2.0
37.0,2.0
31.0,4.0
31.0,2.0
43.0,2.0
41.0,3.0
31.0,0.0
37.0,1.0
30.0,8.0
37.0,3.0
32.0,6.0
40.0,1.0
4.0,41.0
2.0,34.0
34.0,2.0
39.0,5.0
36.0,1.0
38.0,2.0
33.0,8.0
40.0,2.0
46.0,1.0
44.0,0.0
33.0,1.0
1.0,34.0
45.0,3.0
31.0,3.0
34.0,5.0
31.0,4.0
1.0,38.0
37.0,2.0
1.0,44.0
49.0,3.0
42.0,3.0
6.0,42.0
33.0,1.0
36.0,1.0
35.0,7.0
48.0,3.0
31.0,2.0
1.0,46.0
44.0,4.0
24.0,23.0
27.0,16.0
19.0,19.0
9.0,37.0
12.0,41.0
7.0,26.0
22.0,8.0
25.0,16.0
30.0,8.0
37.0,3.0
38.0,6.0
39.0,1.0
41.0,4.0
38.0,0.0
42.0,0.0
36.0,1.0
37.0,5.0
25.0,16.0
35.0,3.0
42.0,0.0
38.0,3.0
29.0,3.0
37.0,0.0
37.0,1.0
30.0,19.0
10.0,29.0
31.0,12.0
40.0,1.0
29.0,11.0
37.0,1.0
36.0,6.0
41.0,3.0
52.0,1.0
42.0,6.0
35.0,1.0
26.0,1.0
6.0,35.0
40.0,3.0
36.0,1.0
26.0,5.0
37.0,1.0
41.0,1.0
35.0,3.0
33.0,6.0
32.0,2.0
38.0,1.0
12.0,35.0
41.0,2.0
38.0,0.0
33.0,3.0
6.0,41.0
10.0,28.0
38.0,2.0
42.0,2.0
9.0,30.0
31.0,6.0
26.0,1.0
39.0,1.0
20.0,17.0
27.0,16.0
49.0,6.0
5.0,33.0
24.0,7.0
31.0,3.0
26.0,14.0
4.0,35.0
2.0,42.0
2.0,36.0
33.0,6.0
45.0,2.0
41.0,3.0
35.0,7.0
43.0,4.0
36.0,0.0
47.0,3.0
40.0,1.0
49.0,4.0
2.0,39.0
51.0,3.0
30.0,2.0
44.0,3.0
30.0,6.0
20.0,20.0
39.0,2.0
36.0,2.0
28.0,7.0
19.0,24.0
34.0,3.0
34.0,15.0
40.0,1.0
2.0,39.0
9.0,45.0
22.0,19.0
39.0,1.0
41.0,8.0
5.0,37.0
21.0,16.0
29.0,1.0
37.0,4.0
44.0,5.0
35.0,3.0
17.0,16.0
43.0,6.0
33.0,1.0
44.0,2.0
33.0,11.0
35.0,5.0
40.0,1.0
40.0,4.0
5.0,46.0
2.0,38.0
41.0,2.0
25.0,5.0
46.0,3.0
3.0,43.0
0.0,31.0
35.0,3.0
32.0,0.0
28.0,18.0
1.0,38.0
34.0,0.0
16.0,33.0
34.0,9.0
30.0,9.0
26.0,14.0
6.0,38.0
33.0,6.0
24.0,14.0
37.0,3.0
49.0,5.0
35.0,4.0
36.0,2.0
28.0,21.0
15.0,14.0
15.0,25.0
2.0,40.0
38.0,13.0
24.0,11.0
34.0,6.0
10.0,25.0
40.0,0.0
2.0,35.0
36.0,13.0
49.0,2.0
39.0,3.0
34.0,1.0
30.0,2.0
33.0,1.0
31.0,3.0
38.0,0.0
35.0,4.0
34.0,3.0
33.0,9.0
29.0,12.0
40.0,3.0
35.0,3.0
4.0,41.0
26.0,8.0
4.0,37.0
32.0,4.0
41.0,2.0
26.0,9.0
31.0,8.0
36.0,4.0
43.0,1.0
38.0,1.0
1.0,32.0
10.0,24.0
2.0,44.0
0.0,36.0
6.0,33.0
39.0,9.0
3.0,36.0
7.0,33.0
14.0,31.0
1.0,40.0
14.0,23.0
4.0,42.0
3.0,44.0
3.0,31.0
2.0,34.0
10.0,30.0
4.0,36.0
38.0,8.0
4.0,39.0
3.0,28.0
5.0,45.0
1.0,31.0
8.0,25.0
3.0,43.0
6.0,34.0
14.0,22.0
0.0,32.0
21.0,19.0
1.0,35.0
1.0,51.0
10.0,20.0
1.0,31.0
2.0,23.0
7.0,38.0
2.0,42.0
3.0,31.0
1.0,29.0
19.0,26.0
7.0,28.0
2.0,30.0
1.0,30.0
