dataset,method,K,primary_cluster,target_cluster,n_samples,mean_pct,var_pct,std_pct
vdx_3gene,agglomerative_ward,6,1,1,96,85.26059291107663,86.54004135699759,9.30269000649799
vdx_3gene,agglomerative_ward,6,1,2,96,9.178990555793419,38.327464478842174,6.190917902770329
vdx_3gene,agglomerative_ward,6,1,3,96,2.24142246882355,32.783788241481616,5.7257129024673965
vdx_3gene,agglomerative_ward,6,1,4,96,0.9504193503088377,4.13777804827343,2.0341529068075066
vdx_3gene,agglomerative_ward,6,1,5,96,0.22840422790719153,0.6132226929313022,0.783085367588555
vdx_3gene,agglomerative_ward,6,1,6,96,2.140170486090374,4.400801203160154,2.0978086669570595
vdx_3gene,agglomerative_ward,6,2,1,44,4.174201039484691,73.04687086380261,8.546746215010868
vdx_3gene,agglomerative_ward,6,2,2,44,66.2451665747789,208.87924213366065,14.452655193204489
vdx_3gene,agglomerative_ward,6,2,3,44,0.0,0.0,0.0
vdx_3gene,agglomerative_ward,6,2,4,44,16.44646086795443,141.32368524646722,11.887963881441904
vdx_3gene,agglomerative_ward,6,2,5,44,11.43307424565764,124.27400058457994,11.14782492617192
vdx_3gene,agglomerative_ward,6,2,6,44,1.701097272124322,26.07171552261074,5.106046956561479
vdx_3gene,agglomerative_ward,6,3,1,35,1.2146226415094339,45.780423574734264,6.766123230826813
vdx_3gene,agglomerative_ward,6,3,2,35,0.4319038048458486,1.597987081563043,1.2641151377794047
vdx_3gene,agglomerative_ward,6,3,3,35,90.95530543234244,162.613412656954,12.751996418481069
vdx_3gene,agglomerative_ward,6,3,4,35,0.14319407008086252,0.3602271942953044,0.60018929871775
vdx_3gene,agglomerative_ward,6,3,5,35,0.4581459821703522,1.0639723443223572,1.0314903510563525
vdx_3gene,agglomerative_ward,6,3,6,35,6.796828069051059,97.56330118408799,9.877413689022445
vdx_3gene,agglomerative_ward,6,4,1,86,0.0,0.0,0.0
vdx_3gene,agglomerative_ward,6,4,2,86,9.830862944740586,115.73170475940569,10.757867110138779
vdx_3gene,agglomerative_ward,6,4,3,86,0.1690103378127679,0.3846631887151144,0.620212212645893
vdx_3gene,agglomerative_ward,6,4,4,86,70.7068570137699,180.02621731192107,13.417384890951034
vdx_3gene,agglomerative_ward,6,4,5,86,18.528079672493117,221.23014251312765,14.873807263546468
vdx_3gene,agglomerative_ward,6,4,6,86,0.7651900311836342,1.7026235682943183,1.3048461856840898
vdx_3gene,agglomerative_ward,6,5,1,54,0.052910052910052914,0.14837210604406373,0.38519099943283164
vdx_3gene,agglomerative_ward,6,5,2,54,4.516326741039474,66.7717434741044,8.171397889841394
vdx_3gene,agglomerative_ward,6,5,3,54,0.0,0.0,0.0
vdx_3gene,agglomerative_ward,6,5,4,54,16.564546193177186,196.6379904526505,14.022766861523817
vdx_3gene,agglomerative_ward,6,5,5,54,76.89549660355397,233.05183898739907,15.266035470527346
vdx_3gene,agglomerative_ward,6,5,6,54,1.9707204093193134,6.219277713789645,2.4938479732713548
vdx_3gene,agglomerative_ward,6,6,1,29,0.0,0.0,0.0
vdx_3gene,agglomerative_ward,6,6,2,29,4.653390525438998,62.13214982047813,7.882394929238076
vdx_3gene,agglomerative_ward,6,6,3,29,5.714879008855163,107.22407266258281,10.354905729294826
vdx_3gene,agglomerative_ward,6,6,4,29,3.8611896063371107,42.40126187441461,6.511625133130332
vdx_3gene,agglomerative_ward,6,6,5,29,5.613870878912332,52.99076305782637,7.279475465844114
vdx_3gene,agglomerative_ward,6,6,6,29,80.15666998045641,244.22375517994053,15.627659939349222
