dataset,method,K,primary_cluster,target_cluster,n_samples,mean_pct,var_pct,std_pct
vdx_3gene,agglomerative_ward,3,1,1,98,97.18623590519441,81.58095620077698,9.032217678996503
vdx_3gene,agglomerative_ward,3,1,2,98,1.7411393231956975,51.270661533176686,7.160353450296758
vdx_3gene,agglomerative_ward,3,1,3,98,1.0726247716098962,32.444275471114295,5.695987664234737
vdx_3gene,agglomerative_ward,3,2,1,193,1.725794956178859,39.153418973969096,6.257269290510766
vdx_3gene,agglomerative_ward,3,2,2,193,95.84681153514441,96.0209257509322,9.799026775702382
vdx_3gene,agglomerative_ward,3,2,3,193,2.427393508676725,58.13352992392122,7.62453473491473
vdx_3gene,agglomerative_ward,3,3,1,53,1.178474606869709,41.55006191635077,6.445933750540007
vdx_3gene,agglomerative_ward,3,3,2,53,10.488162759281524,262.01802882069364,16.186970958789466
vdx_3gene,agglomerative_ward,3,3,3,53,88.33336263384876,278.8480237679847,16.698743179293007
