dataset,method,K,primary_cluster,target_cluster,n_samples,mean_pct,var_pct,std_pct
gmm_anisotropic,agglomerative_ward,3,1,1,149,99.91646577548202,0.30054230710151764,0.5482173903676512
gmm_anisotropic,agglomerative_ward,3,1,2,149,0.0,0.0,0.0
gmm_anisotropic,agglomerative_ward,3,1,3,149,0.08353422451797585,0.30054230710151714,0.5482173903676507
gmm_anisotropic,agglomerative_ward,3,2,1,150,0.4365556749015395,6.663541751673439,2.5813836893560476
gmm_anisotropic,agglomerative_ward,3,2,2,150,99.56344432509847,6.663541751673439,2.5813836893560476
gmm_anisotropic,agglomerative_ward,3,2,3,150,0.0,0.0,0.0
gmm_anisotropic,agglomerative_ward,3,3,1,151,0.05548118923488798,0.2855935943617825,0.5344095754772574
gmm_anisotropic,agglomerative_ward,3,3,2,151,0.0,0.0,0.0
gmm_anisotropic,agglomerative_ward,3,3,3,151,99.94451881076513,0.28559359436178267,0.5344095754772576
