dataset,method,K,primary_cluster,target_cluster,n_samples,mean_pct,var_pct,std_pct
gmm_overlapping_pair,agglomerative_ward,3,1,1,185,94.21886769556598,120.71875966639581,10.987208911566022
gmm_overlapping_pair,agglomerative_ward,3,1,2,185,5.781132304434024,120.71875966639581,10.987208911566022
gmm_overlapping_pair,agglomerative_ward,3,1,3,185,0.0,0.0,0.0
gmm_overlapping_pair,agglomerative_ward,3,2,1,215,3.400049636527205,66.8816764592067,8.1781218173372
gmm_overlapping_pair,agglomerative_ward,3,2,2,215,96.5999503634728,66.88167645920669,8.178121817337198
gmm_overlapping_pair,agglomerative_ward,3,2,3,215,0.0,0.0,0.0
gmm_overlapping_pair,agglomerative_ward,3,3,1,100,0.0,0.0,0.0
gmm_overlapping_pair,agglomerative_ward,3,3,2,100,0.0,0.0,0.0
gmm_overlapping_pair,agglomerative_ward,3,3,3,100,100.0,0.0,0.0
