dataset,method,K,primary_cluster,target_cluster,n_samples,mean_pct,var_pct,std_pct
gmm_spherical,agglomerative_ward,3,1,1,150,100.0,0.0,0.0
gmm_spherical,agglomerative_ward,3,1,2,150,0.0,0.0,0.0
gmm_spherical,agglomerative_ward,3,1,3,150,0.0,0.0,0.0
gmm_spherical,agglomerative_ward,3,2,1,150,0.0,0.0,0.0
gmm_spherical,agglomerative_ward,3,2,2,150,100.0,0.0,0.0
gmm_spherical,agglomerative_ward,3,2,3,150,0.0,0.0,0.0
gmm_spherical,agglomerative_ward,3,3,1,150,0.0,0.0,0.0
gmm_spherical,agglomerative_ward,3,3,2,150,0.0,0.0,0.0
gmm_spherical,agglomerative_ward,3,3,3,150,100.0,0.0,0.0
