dataset,method,K,primary_cluster,target_cluster,n_samples,mean_pct,var_pct,std_pct
gauss4c_sigma1p0,agglomerative_ward,4,1,1,100,100.0,0.0,0.0
gauss4c_sigma1p0,agglomerative_ward,4,1,2,100,0.0,0.0,0.0
gauss4c_sigma1p0,agglomerative_ward,4,1,3,100,0.0,0.0,0.0
gauss4c_sigma1p0,agglomerative_ward,4,1,4,100,0.0,0.0,0.0
gauss4c_sigma1p0,agglomerative_ward,4,2,1,100,0.0,0.0,0.0
gauss4c_sigma1p0,agglomerative_ward,4,2,2,100,100.0,0.0,0.0
gauss4c_sigma1p0,agglomerative_ward,4,2,3,100,0.0,0.0,0.0
gauss4c_sigma1p0,agglomerative_ward,4,2,4,100,0.0,0.0,0.0
gauss4c_sigma1p0,agglomerative_ward,4,3,1,100,0.0,0.0,0.0
gauss4c_sigma1p0,agglomerative_ward,4,3,2,100,0.022222222222222223,0.04888888888888891,0.2211083193570267
gauss4c_sigma1p0,agglomerative_ward,4,3,3,100,99.97777777777777,0.04888888888888904,0.22110831935702702
gauss4c_sigma1p0,agglomerative_ward,4,3,4,100,0.0,0.0,0.0
gauss4c_sigma1p0,agglomerative_ward,4,4,1,100,0.0,0.0,0.0
gauss4c_sigma1p0,agglomerative_ward,4,4,2,100,0.0,0.0,0.0
gauss4c_sigma1p0,agglomerative_ward,4,4,3,100,0.0,0.0,0.0
gauss4c_sigma1p0,agglomerative_ward,4,4,4,100,100.0,0.0,0.0
