dataset,method,K,primary_cluster,target_cluster,n_samples,mean_pct,var_pct,std_pct
gmm_anisotropic,kmeans,3,1,1,185,54.320363522606044,24.780314826754967,4.977983007881301
gmm_anisotropic,kmeans,3,1,2,185,2.054936054102615,5.299236826365958,2.3020071299555003
gmm_anisotropic,kmeans,3,1,3,185,43.624700423291344,25.733393636883,5.072809245071511
gmm_anisotropic,kmeans,3,2,1,151,0.0,0.0,0.0
gmm_anisotropic,kmeans,3,2,2,151,94.63328845800488,10.769109468506818,3.28163213485406
gmm_anisotropic,kmeans,3,2,3,151,5.366711541995114,10.769109468506814,3.2816321348540596
gmm_anisotropic,kmeans,3,3,1,114,43.58862601971193,13.642921654426614,3.693632582489305
gmm_anisotropic,kmeans,3,3,2,114,2.097854274464339,5.917874871774395,2.432668261759995
gmm_anisotropic,kmeans,3,3,3,114,54.31351970582373,17.992057887221304,4.241704596883345
