dataset,method,K,primary_cluster,target_cluster,n_samples,mean_pct,var_pct,std_pct
vdx_3gene,kmeans,3,1,1,103,99.14746129220767,30.94640709726575,5.562949496199454
vdx_3gene,kmeans,3,1,2,103,0.737307619089458,26.386165517210518,5.1367465887671075
vdx_3gene,kmeans,3,1,3,103,0.11523108870286772,0.38963598064863,0.6242082830663416
vdx_3gene,kmeans,3,2,1,190,0.08009153318077804,1.2123695468898097,1.1010765399779479
vdx_3gene,kmeans,3,2,2,190,98.0163695253188,4.565543658740816,2.136713284168191
vdx_3gene,kmeans,3,2,3,190,1.903538941500431,3.6580888164391747,1.9126130859217643
vdx_3gene,kmeans,3,3,1,51,1.9246313368119563,5.231395651167251,2.2872244426744066
vdx_3gene,kmeans,3,3,2,51,2.6591609710110777,23.000430574781557,4.795876413626768
vdx_3gene,kmeans,3,3,3,51,95.41620769217695,17.996017157078338,4.242171278611736
