"","205225_at","216836_s_at","208079_s_at"
"VDX_3",10.1889596708066,10.7682670457449,7.01569380710515
"VDX_5",12.6723811410787,10.027767800771,8.51806297565252
"VDX_6",8.1853710292354,10.2189264372263,9.73927431215765
"VDX_7",8.78920757534735,9.5928307440545,9.16339809435316
"VDX_8",14.2734022422205,11.7354714058851,8.26397335480341
"VDX_9",13.5899670817933,13.018808709164,9.66640155434373
"VDX_11",13.2372697231892,14.5911366101702,10.0096886789577
"VDX_14",9.88813438835287,10.0301153309081,10.606682805305
"VDX_15",12.3125710181545,11.7384300877548,8.33002051583608
"VDX_17",13.8288009390223,10.6070528457151,9.2350568627071
"VDX_18",13.4567137605755,10.8793535028107,9.89284635021603
"VDX_19",13.4685476808914,11.7181903558775,6.05093696522523
"VDX_20",7.79960542245267,9.79262763631105,9.21359030288131
"VDX_21",12.2886354090377,14.3200812780644,10.8493269039754
"VDX_22",13.1260591160707,11.6205864104519,7.63081315229913
"VDX_27",10.9314023612817,13.9325561887659,9.69644597593365
"VDX_28",13.7942330809064,12.2649703189574,7.11997860965488
"VDX_29",8.6499746511581,10.5059107730002,9.4797802640291
"VDX_31",14.4178129667824,13.3504834344506,9.81313985089045
"VDX_32",13.3324002541713,11.1080016464659,6.7128708676899
"VDX_33",13.0032192229386,14.0245163828218,9.61783475018439
"VDX_34",13.8417903653519,10.2390017577656,8.27239650903749
"VDX_35",13.3928808654889,10.9689547275422,8.88264304936184
"VDX_37",7.89542381038297,9.01178633120661,10.9013948946489
"VDX_38",8.66177809777199,10.8925428166486,10.0357613550736
"VDX_39",11.3779154346753,10.2753097506899,9.16113188298431
"VDX_40",14.2748876951314,12.3568645814189,6.74146698640115
"VDX_41",13.621353646126,11.8833306108866,9.67383905599044
"VDX_44",14.8031927222849,11.460916584116,10.2684250360907
"VDX_46",8.66177809777199,10.3089078040639,11.1652210682209
"VDX_48",9.1009251010569,10.0533829025857,10.1211449475013
"VDX_49",9.42206476617281,10.2240016741981,8.23457795978457
"VDX_50",13.3611213347348,11.133912814239,7.13852780142228
"VDX_54",14.432646288438,11.7054595991654,8.63952159951083
"VDX_55",11.5950243186136,10.7385989721613,9.70563238736141
"VDX_56",13.8569020684207,11.4043432915858,8.39016895620018
"VDX_57",11.8338783645774,13.5065183410202,8.43546191447928
"VDX_61",8.50937914891469,11.2448989483731,10.5305038791052
"VDX_62",12.3677969438158,11.4467731581408,8.46270675067016
"VDX_63",13.0536204810203,10.2155329997457,10.0647427647503
"VDX_64",7.3371758685863,9.69104555348718,9.30697305714083
"VDX_65",8.14312807294381,11.8072341556995,9.65015421367509
"VDX_66",12.5664346462833,11.283030458803,8.07895134139482
"VDX_67",12.3871826494427,11.1706762094993,9.28655776160796
"VDX_68",11.6335401930725,11.0711271249483,9.06177619758669
"VDX_70",13.5220174851486,11.0246548904103,7.05202456048283
"VDX_71",9.26819107921981,14.6233042508196,9.55861203944637
"VDX_72",11.1096348000294,10.2259304111711,9.60344089668709
"VDX_74",7.40173284952262,10.8642635403809,9.51510844862998
"VDX_75",13.2198642835768,10.920055054807,9.57459352733761
"VDX_76",8.39531991094028,9.53021123329988,9.10695545712283
"VDX_78",8.17292748960384,14.3259097311588,10.2737955992143
"VDX_79",8.42877889133759,9.97613447283165,9.59357786734457
"VDX_80",13.505079602391,10.969890117492,8.93957921431469
"VDX_81",12.1539952851751,10.7294508048002,9.10826307530433
"VDX_82",13.9045969921988,11.7013064619586,7.63807383718072
"VDX_84",7.62789861587175,10.7377543523603,9.30058135979597
"VDX_86",9.44190670454224,14.3254108703031,9.58552594343126
"VDX_88",13.6426948037699,11.1087857909046,7.37155886261196
"VDX_89",13.0206848435711,11.2571520889474,7.04220656012069
"VDX_90",8.69139457853809,11.6786881592966,9.17841587438304
"VDX_91",14.1958873636449,11.9408641390496,9.17592374206376
"VDX_92",12.2727755632861,13.9296282830246,8.61102479730735
"VDX_93",10.2934716488381,15.076719581165,11.187290206735
"VDX_94",8.17791779219584,9.55497249615295,10.826866226537
"VDX_96",8.66746640495737,10.0858707553346,8.80477637795583
"VDX_98",8.62789861587175,15.0489636066087,9.35601172150278
"VDX_99",13.9940086339758,13.128236039171,8.20408201217437
"VDX_100",9.4980513660353,14.2516821136051,8.7944158663501
"VDX_103",12.3609567906579,11.0680392784373,8.38715571766298
