"","205225_at","216836_s_at","208079_s_at"
"VDXGUYU_4002",7.93360966905152,10.06343320803,9.87121540772799
"VDXGUYU_4008",12.3884683623939,9.46615464154266,10.7911586796981
"VDXGUYU_4011",7.80454689838897,9.98000169571053,10.7317815403425
"VDXGUYU_4014",12.3282434098289,10.3621503860159,9.99756526154864
"VDXGUYU_4022",12.2828568420841,10.20064480712,9.531597092166
"VDXGUYU_4033",11.9173969752918,10.8599378240859,7.92166432912462
"VDXGUYU_4034",6.46529480250613,10.1928706081549,11.2408813868392
"VDXGUYU_4036",13.2449560389874,10.5686202839903,7.95458334430246
"VDXGUYU_4040",13.6604047365467,11.3022076772963,8.69537496818802
"VDXGUYU_4041",11.6850396462138,10.5560982582584,9.50430206679342
"VDXGUYU_4043",12.5935280302194,14.027120917134,9.6693828394752
"VDXGUYU_4044",12.2634052022473,10.7722811744042,8.62201579662823
"VDXGUYU_4045",7.22266710631172,10.2640214277645,9.93108469057198
"VDXGUYU_4046",9.34178504878382,10.6477802126731,7.94874109322783
"VDXGUYU_4049",7.82077828301564,9.97754336543192,11.5125338404795
"VDXGUYU_4052",13.239449142412,11.2778377421337,8.34305398742791
"VDXGUYU_4054",10.6386213142289,10.1309746677179,9.73622613563943
"VDXGUYU_4056",7.58801215604598,13.9800609450426,8.4900477380854
"VDXGUYU_4060",7.55596364172537,11.5054205474967,9.08896653180704
"VDXGUYU_4061",12.0524979261835,10.670434215764,8.05508561114643
"VDXGUYU_4062",11.3305507579996,10.4831551677187,8.73216598615985
"VDXGUYU_4067",6.2546839233972,11.0299583965464,10.5654709128489
"VDXGUYU_4072",12.2814959596763,10.2722313269402,6.9865450214353
"VDXGUYU_4073",13.5280820994966,12.0450511124178,8.69895896203786
"VDXGUYU_4074",6.99914034212047,9.59213416492898,8.97967208995036
"VDXGUYU_4075",14.257282365625,11.1339724639863,8.9608683767157
"VDXGUYU_4076",13.1996075207221,11.3621381731295,6.25538771201863
"VDXGUYU_4080",11.8784272987481,11.0670697106789,7.24263369603802
"VDXGUYU_4081",7.72613077510528,10.977031768035,9.28383904402206
"VDXGUYU_4087",12.3445182199359,10.5904532991924,8.04468633251863
"VDXGUYU_4088",12.278334990355,12.8043677604094,9.49232868886569
"VDXGUYU_4096",12.9956505510828,10.2830698758232,9.96522209505354
"VDXGUYU_4097",13.8325086058074,11.876195394608,8.91983463076974
"VDXGUYU_4098",8.15392936396097,13.1247928756697,8.80069579843288
"VDXGUYU_4099",14.6629129666318,10.702360853139,7.16690001106411
"VDXGUYU_4105",12.5352566537575,10.5294290248729,9.75563781267966
"VDXIGRU_166154",13.1381373064469,11.9158006895161,7.78260680386977
"VDXIGRU_171150",12.7491908772842,11.1514155417528,8.20707728678679
"VDXIGRU_171260",7.78972500004416,9.63609483989038,9.36666506422783
"VDXIGRU_171558",13.3513619401352,10.8913036421904,7.71915763048426
"VDXIGRU_171620",6.69083951165975,8.63589117781038,10.3064152565042
"VDXIGRU_172086",13.3421787130962,11.0336300340531,9.63615641228382
"VDXIGRU_211980",7.81774818604549,14.7255746486673,10.1358104161865
"VDXIGRU_214603",12.9011611716611,11.3722312432938,8.76272547623922
"VDXIGRU_216806",11.0147839977586,10.6773123791852,9.86846481407465
"VDXIGRU_216939",12.5940563344658,11.086477110287,6.68744109674087
"VDXIGRU_217320",12.0684328747199,11.0662536965137,8.70555325056852
"VDXIGRU_219139",12.6162680191625,10.4856966969981,9.93722251353568
"VDXIGRU_219468",11.6980320582646,10.7735429024809,11.9244698336849
"VDXIGRU_219490",13.3877342759016,14.2493290187071,9.74692209280391
"VDXIGRU_219587",7.37655246564305,10.2606126762284,9.72742426711344
"VDXIGRU_219863",12.9469725674809,11.2334455784074,8.99930187638116
