"","205225_at","216836_s_at","208079_s_at"
"MAINZ_BC6001",8.49341217360193,14.1539265686961,9.82899136991883
"MAINZ_BC6002",13.9805383446699,10.8006573410874,8.11858043163244
"MAINZ_BC6003",11.6295207731035,10.825212926041,8.36672730202309
"MAINZ_BC6004",13.2785757356422,10.6652308469582,7.84041696060804
"MAINZ_BC6005",13.8084076875739,10.1550514719889,8.63332887544144
"MAINZ_BC6006",13.1366525237465,10.2119406189875,8.4950339425057
"MAINZ_BC6007",13.1116099148255,11.0395756191236,11.5457259072099
"MAINZ_BC6008",10.5656471786108,13.6505825290962,10.8256589417201
"MAINZ_BC6009",13.8214185017339,10.967511206333,7.89655089369816
"MAINZ_BC6011",13.4564939891473,11.02635179957,6.9537517514367
"MAINZ_BC6012",12.1992730116926,11.0265744404434,8.01785655814583
"MAINZ_BC6013",12.6077463059842,10.8165473204139,8.43137488641342
"MAINZ_BC6014",8.7654100997464,10.6197902699805,8.47480113160994
"MAINZ_BC6015",13.4279704488882,9.56901448699987,8.26287346848991
"MAINZ_BC6016",12.7355376116871,11.1555856381748,8.35667515422875
"MAINZ_BC6017",12.8591559808301,11.0259646184798,7.78652054500327
"MAINZ_BC6019",13.6160546356929,11.1830844100413,8.65918740364633
"MAINZ_BC6020",11.5018030198302,10.6916412240282,8.73836609064722
"MAINZ_BC6021",12.1337867882644,10.5009335381474,8.97186181965316
"MAINZ_BC6022",11.4492788654931,12.351394150959,9.9933708302989
"MAINZ_BC6024",11.1915564613437,10.6257598218505,7.5158997079846
"MAINZ_BC6025",13.5885937561211,11.1713842516619,9.02439380918936
"MAINZ_BC6026",12.880118759769,10.247359520621,8.72303568908582
"MAINZ_BC6027",12.2360685579045,14.3971044542683,9.41254773037941
"MAINZ_BC6028",13.2863385280875,11.6257548075745,9.30292061022286
"MAINZ_BC6029",9.10400291889572,9.24549832243613,10.0435686278757
"MAINZ_BC6030",13.3464302262203,11.2746308592896,9.67730062392247
"MAINZ_BC6031",11.8022340749253,10.0029023057931,9.62940942300872
"MAINZ_BC6032",12.425715874472,10.4733514099854,6.86757815449406
"MAINZ_BC6033",13.2780333486887,11.1770620872434,7.65287261720543
"MAINZ_BC6035",14.1189661881944,10.9696661259587,8.49781138210557
"MAINZ_BC6036",13.9159631623664,11.6007376538637,7.69818280646918
"MAINZ_BC6037",13.322294031568,11.0406188445746,7.96450400729991
"MAINZ_BC6039",12.6635644689212,9.21412707331805,9.06486803121969
"MAINZ_BC6040",13.1560674052863,10.3175965062084,8.56415436022771
"MAINZ_BC6041",13.2714041502131,10.8293975448489,9.20581354684493
"MAINZ_BC6042",8.82743943130875,13.9744201756292,9.29971895311835
"MAINZ_BC6043",8.47082815188992,13.9010726820815,9.82747827337749
"MAINZ_BC6044",12.837603311194,11.3523885849744,6.8700673870061
"MAINZ_BC6045",12.7019191653483,10.859112280894,9.91425653548268
"MAINZ_BC6046",8.20908928453394,8.89499343487033,9.42860432635395
"MAINZ_BC6047",13.1924588166071,11.3215602434297,7.70765018969319
"MAINZ_BC6048",13.7689040335793,12.0631673395604,8.78659507880986
"MAINZ_BC6049",13.9210244915011,9.93437984736737,8.16503314847725
"MAINZ_BC6050",12.9799736307416,11.4484798814505,8.16045372073251
"MAINZ_BC6051",12.3259575494925,12.8720769558099,9.38397514681585
"MAINZ_BC6052",13.3397823587357,11.3055703423339,8.36673569566312
"MAINZ_BC6053",12.2129285386795,10.6849827750774,6.65803868939728
"MAINZ_BC6054",12.6385498280325,10.1240834856478,8.06968486956617
"MAINZ_BC6055",13.2748913485007,10.71173339181,8.59366062678252
"MAINZ_BC6056",12.3482802541163,10.4718620100853,7.75127933884699
"MAINZ_BC6057",14.164157109271,11.2107732023462,7.82584011892934
"MAINZ_BC6058",12.7831197600881,10.8072189235754,7.93818775629993
"MAINZ_BC6059",12.4267344003423,10.3791606831916,8.81640508760864
"MAINZ_BC6060",9.64897776560849,9.41258847068494,9.16313962367374
"MAINZ_BC6061",13.1217649624192,9.76713437259399,10.5912182781242
"MAINZ_BC6062",11.421161614212,9.34368184405062,9.40168562183848
"MAINZ_BC6063",11.3700734198658,11.3536107987187,8.42899147663999
"MAINZ_BC6064",14.0112161935636,11.2181908417276,6.6754785612866
"MAINZ_BC6065",12.1735464526909,11.3303909006035,7.1182790871246
"MAINZ_BC6066",13.8393893534893,10.3739273969071,7.90103622786949
"MAINZ_BC6067",13.2394467698729,10.1502890282991,7.14971731072986
