6.0,5.0,8.0,5.0,14.0
3.0,30.0,6.0,3.0,3.0
1.0,5.0,5.0,11.0,5.0
2.0,5.0,8.0,5.0,19.0
18.0,0.0,2.0,15.0,4.0
0.0,5.0,2.0,3.0,21.0
2.0,25.0,11.0,5.0,2.0
8.0,1.0,1.0,24.0,5.0
4.0,3.0,23.0,4.0,3.0
1.0,9.0,1.0,25.0,1.0
6.0,15.0,5.0,12.0,0.0
29.0,3.0,6.0,5.0,5.0
7.0,2.0,1.0,14.0,12.0
3.0,6.0,25.0,6.0,4.0
2.0,7.0,11.0,8.0,7.0
2.0,2.0,19.0,2.0,7.0
15.0,6.0,6.0,2.0,0.0
9.0,20.0,5.0,1.0,2.0
2.0,5.0,25.0,4.0,3.0
15.0,2.0,6.0,8.0,4.0
3.0,1.0,19.0,16.0,1.0
23.0,3.0,5.0,2.0,2.0
2.0,8.0,3.0,22.0,9.0
23.0,6.0,1.0,2.0,6.0
11.0,5.0,2.0,12.0,14.0
3.0,8.0,8.0,18.0,1.0
7.0,15.0,3.0,7.0,6.0
4.0,0.0,15.0,9.0,22.0
5.0,1.0,6.0,6.0,19.0
13.0,4.0,3.0,3.0,19.0
22.0,12.0,8.0,12.0,1.0
16.0,6.0,3.0,7.0,5.0
4.0,7.0,23.0,4.0,10.0
0.0,21.0,0.0,4.0,15.0
7.0,2.0,5.0,11.0,11.0
9.0,8.0,11.0,13.0,5.0
1.0,3.0,1.0,4.0,25.0
3.0,6.0,9.0,8.0,9.0
0.0,19.0,16.0,1.0,3.0
10.0,18.0,3.0,0.0,6.0
9.0,8.0,3.0,2.0,21.0
3.0,1.0,4.0,21.0,2.0
7.0,30.0,14.0,3.0,5.0
3.0,5.0,24.0,2.0,1.0
1.0,24.0,8.0,0.0,10.0
21.0,5.0,3.0,5.0,6.0
4.0,5.0,19.0,8.0,8.0
13.0,2.0,8.0,11.0,8.0
2.0,9.0,8.0,29.0,1.0
9.0,8.0,3.0,18.0,2.0
7.0,17.0,7.0,4.0,5.0
1.0,21.0,13.0,5.0,2.0
19.0,6.0,14.0,4.0,1.0
9.0,2.0,5.0,22.0,7.0
0.0,7.0,25.0,3.0,5.0
4.0,11.0,19.0,7.0,1.0
19.0,1.0,6.0,8.0,5.0
3.0,28.0,5.0,9.0,2.0
1.0,20.0,4.0,7.0,4.0
5.0,15.0,4.0,9.0,8.0
12.0,1.0,4.0,14.0,4.0
5.0,1.0,7.0,4.0,22.0
16.0,8.0,4.0,5.0,1.0
2.0,3.0,16.0,10.0,7.0
9.0,13.0,9.0,5.0,0.0
3.0,24.0,7.0,0.0,4.0
1.0,7.0,11.0,15.0,13.0
4.0,4.0,2.0,5.0,33.0
12.0,4.0,4.0,20.0,2.0
5.0,5.0,10.0,7.0,12.0
17.0,6.0,1.0,7.0,0.0
18.0,10.0,5.0,4.0,3.0
10.0,6.0,6.0,4.0,10.0
8.0,18.0,3.0,0.0,11.0
1.0,4.0,21.0,6.0,6.0
2.0,32.0,2.0,9.0,2.0
3.0,3.0,0.0,16.0,27.0
19.0,9.0,2.0,10.0,1.0
11.0,5.0,20.0,5.0,2.0
1.0,23.0,13.0,8.0,5.0
6.0,3.0,29.0,6.0,2.0
9.0,26.0,3.0,10.0,0.0
4.0,4.0,14.0,23.0,3.0
12.0,9.0,3.0,11.0,3.0
5.0,22.0,9.0,4.0,4.0
3.0,4.0,8.0,15.0,17.0
21.0,2.0,5.0,8.0,6.0
2.0,3.0,11.0,9.0,6.0
24.0,4.0,3.0,3.0,1.0
26.0,9.0,2.0,1.0,5.0
10.0,3.0,2.0,7.0,15.0
14.0,3.0,6.0,11.0,6.0
2.0,2.0,3.0,14.0,12.0
4.0,1.0,5.0,20.0,5.0
8.0,4.0,13.0,16.0,3.0
5.0,19.0,7.0,1.0,3.0
22.0,12.0,3.0,1.0,3.0
9.0,2.0,6.0,9.0,3.0
1.0,5.0,2.0,4.0,17.0
4.0,20.0,8.0,0.0,7.0
